,name,age,gender,occupation,income,education,location,background,values,goals,pain points,persona,pain_points,political_views,voting_preference,likelihood_minor_parties,likelihood_major_parties,likelihood_greens,political_affiliation,alliances,conflicts
10,Sophie Smith,38,Female,Social Worker,Moderate,Bachelor's Degree,"Geelong, Victoria","Sophie grew up in a middle-class family in Geelong, Victoria. She was exposed to social issues at an early age and developed a strong sense of social justice. Sophie's passion for helping others led her to pursue a career in social work, where she advocates for the rights of individuals and strives to address systemic inequalities.","Sophie values equality, fairness, and social cohesion. She firmly believes that everyone should have equal access to resources and opportunities. She supports government intervention to ensure a more equitable society and is an advocate for the redistribution of wealth. Sophie is passionate about protecting the environment and believes in taking immediate action to combat climate change. She is also a strong supporter of Australian manufacturing, as she recognizes its contribution to local economies.","Sophie's main goal is to create a society where everyone has an equal chance to succeed and where basic needs are met for all. She wants to see increased public investment in education, healthcare, and social services to provide opportunities for those who are less privileged. Sophie also aims to raise awareness about the importance of climate action and ensure that Australia takes proactive steps to protect the environment. Additionally, she wants to support and promote Australian manufacturing to ensure employment opportunities and economic stability.",,activist_egalitarian,"Sophie often feels frustrated by the lack of progress in achieving an equitable society. She is disheartened by the resistance to social change and the challenges faced in obtaining government support for meaningful interventions. Sophie also faces criticism from those who oppose wealth redistribution, climate action, and public investment. Additionally, she feels the burden of advocating for marginalized individuals and communities, often facing resistance or indifference.",,,,,,,,
11,Sarah Thompson,67,Female,Retired,Moderate,High school diploma,Regional town,"Sarah was born and raised in a close-knit regional community. She worked as a teacher for over 30 years before retiring. Sarah has always valued tradition and conservative social values, finding comfort in the familiar.","Sarah values traditional social values, stability, and safety. She believes in the importance of a strong community and prioritizes the well-being of her family and neighbors. Sarah has a cautious approach to life and appreciates the significance of government intervention in ensuring people's safety.",Sarah's primary goals involve preserving traditional social values and promoting a return to a more stable and familiar society. She wants to ensure her community and loved ones can continue to live in a secure environment that reflects the values of the past.,Sarah is concerned about the rapid changes occurring in the world and worries that these changes may undermine the values and social structures she holds dear. She is also frustrated by the lack of attention given to her perspectives and the feeling that her voice is not being heard.,prudent_traditionalist,,,,,,,,,
12,Emily,40,Female,Human Resources Manager,"$80,000 per year",Bachelor's degree,"Melbourne, Victoria","Emily grew up in a working-class family in regional Victoria. She was the first one in her family to attend university and studied hard to pursue a career in human resources. Her passion for social justice and equality developed early on, influenced by her experiences witnessing income inequality and the plight of marginalized communities.",Emily strongly believes in creating a fair and inclusive society where everyone has equal opportunities. She supports government intervention to address wealth disparities and ensure public investment in programs that benefit all citizens. She is also deeply concerned about climate change and its impact on future generations. Emily values Australian manufacturing and believes it plays a vital role in providing secure jobs and national prosperity.,"Emily's primary goal is to advocate for policies that promote economic equality and reduce wealth gaps. She aims to ensure that governments prioritize climate action and protect Australian manufacturing to strengthen local industries. She strives to create a society where everyone has access to quality education, healthcare, and social services, regardless of their socio-economic background.","Emily often feels frustrated by the slow progress towards social equity and the lack of political will to tackle income inequality. She is concerned about the negative impact of climate change on vulnerable communities, and the current state of Australian manufacturing. Emily finds it challenging to persuade opponents who prioritize individualism over collective well-being and feel threatened by government intervention for redistribution of wealth.",activist_egalitarian,,,,,,,,,
13,John Davis,68,Male,Retired,Moderate fixed income,High school diploma,Regional town in New South Wales,John grew up in a small town and lived a simple life. He worked in a factory for most of his career and retired a few years ago. John has always been cautious with his finances and has managed to save a modest amount for his retirement.,"John values traditional social values and believes in the importance of stable communities. He is unimpressed by luxurious lifestyles and material possessions. Safety and security are paramount to him, and he places great importance on the government's role in protecting its citizens. John supports continuing offshore processing of asylum seekers as he believes it contributes to the overall safety of the country.",John's main goal is to preserve traditional values and societal norms. He wishes for a slower pace of change and a return to what he perceives as the traditional way of life. He wants to ensure the government takes appropriate measures to provide safety and security for all Australians.,John is concerned about the rapid changes happening in society and feels that his values are not being adequately represented. He worries that the younger generations don't appreciate the importance of traditional values and social stability. John also feels that his voice is not heard in the political decision-making process and wants to see his concerns addressed by the political leaders.,prudent_traditionalist,,,,,,,,,
14,Emma Thompson,41,Female,Social Worker,"$55,000",Bachelor's degree,"Melbourne, Victoria","Emma grew up in a working-class family in regional Queensland. She witnessed firsthand the challenges faced by marginalized communities and the lack of government support. Moved by her experiences, she pursued a career in social work and is now actively involved in advocating for equitable policies.","Emma strongly believes in the principles of equality and social justice. She believes that every individual should have access to basic necessities and opportunities, regardless of their socio-economic background. She is passionate about fighting for the redistribution of wealth, investing in public services, addressing climate change, and protecting Australian manufacturing.","Emma's primary goal is to create a more equitable society where no one is left behind. She wants to achieve this by advocating for government intervention, promoting policies that bridge the wealth gap, and supporting initiatives that protect the environment. She aims to ensure that everyone, regardless of their location or income level, receives the same opportunities for a better life.","Emma often feels frustrated and disheartened by the lack of progress in achieving societal equality. She is concerned about the increasing divide between the rich and the poor, the inadequate government response to climate change, and the undermining of Australian manufacturing. Additionally, she faces challenges in convincing others, especially men, about the importance of equal distribution of wealth and the need for interventionist policies.",activist_egalitarian,,,,,,,,,
15,Sarah Johnson,70,Female,Retired teacher,Moderate,Bachelor's degree,"Regional town, New South Wales","Sarah spent the majority of her life working as a dedicated primary school teacher in a small regional town in New South Wales. She is now enjoying her retirement, spending time with grandchildren and participating in community activities.",Sarah highly values traditional social values and believes that the rapid changes in society are negatively impacting these values. She believes in maintaining a sense of stability and passing down traditional customs and beliefs to future generations. Sarah also prioritizes safety and is in favor of government interventions to protect the well-being of individuals.,"Sarah's primary goal is to see a return to traditional values and a slower pace of change in society. She wants to ensure that future generations have a solid foundation in traditional social values. Sarah is also concerned about the safety and security of her community, and she wishes to support policies that address these concerns.",Sarah is worried about the erosion of traditional social values and the impact of rapid societal changes on her community. She is cautious about the future and feels that her values are not represented or respected in the current political landscape. Sarah often feels overwhelmed by the pace of change and longs for a return to a simpler time.,prudent_traditionalist,,,,,,,,,
16,Sara Johnson,34,Female,Human Rights Advocate,55000,Bachelor's Degree,"Melbourne, Victoria","Sara grew up in a middle-class family in a regional area of Victoria. She witnessed firsthand the disparities in wealth and opportunities between social classes. Inspired by her experiences, she pursued a career in advocating for human rights and social equality.",Sara strongly believes in the principles of egalitarianism and social justice. She supports the redistribution of wealth and public investment to create a more equitable society. She is committed to taking action on climate change and protecting Australian manufacturing to preserve local jobs and industries.,"Sara's main goals are to achieve greater wealth equality, promote social progress, and ensure the protection of marginalized communities. She aims to advocate for government intervention to address systemic social and economic disparities. Additionally, she wants to foster a sense of unity and collaboration between city and regional areas.","Sara is deeply concerned about the increasing income inequality within society. She faces challenges in getting her message across to those who oppose government intervention and view it as an affront to individual freedom. Additionally, she often encounters resistance from Anti-Establishment Firebrands who dismiss her efforts to create a fairer society.",activist_egalitarian,,,,,,,,,
17,John Thompson,68,Male,Retired,Moderate,High school graduate,Regional town,"John Thompson spent most of his life working in a blue-collar job in a small regional town. Now retired, he enjoys spending his time with his grandchildren and engaging in community activities. He has witnessed the rapid changes in society and feels a strong nostalgia for traditional values and a simpler way of life.","John values family, community, and stability. He believes that the world is changing too quickly and yearns for a return to traditional social values. He prioritizes safety and security and feels that the government should step in to ensure people's well-being. John also supports the offshore processing of asylum seekers.","John's goal is to preserve the ideals and values he holds dear. He wants to create a safer and more stable society for himself, his family, and future generations. He hopes to see a return to traditional social values and a slower pace of change.",John feels disheartened by the fast-paced world and the erosion of traditional values. He is concerned about the safety and security of his community and worries about the impact of rapid changes on his family's future. John also feels that his views often go unheard or dismissed by the political establishment.,prudent_traditionalist,,,,,,,,,
18,Emma Davies,34,Female,Community Organizer,"$45,000 per year",Bachelor's degree,"Melbourne, Victoria","Emma grew up in a small town in regional Victoria with a close-knit community. She witnessed firsthand the impact of economic disparities on people's lives and developed a strong passion for social justice. After completing her education, Emma moved to Melbourne to pursue her career in community organizing.","Emma strongly believes in equal opportunity for all individuals, regardless of their background or circumstances. She values fairness, inclusivity, and the importance of collective action towards creating a more just society. Emma is deeply committed to advocating for wealth redistribution, public investment, climate action, and protecting local Australian manufacturing.","Emma's primary goal is to address social inequities and create a society where everyone has equal access to resources and opportunities. She aims to advance progressive policies that promote economic redistribution, prioritize public investments, and protect the environment. Emma also aims to strengthen the manufacturing sector to support local jobs and stimulate the economy.","Emma often faces challenges in gaining broader support for her ideas, particularly from those who prioritize maintaining the existing economic system or hold conservative values. She also encounters resistance from anti-establishment firebrands who might dismiss the effectiveness of governmental intervention. Additionally, as a woman in a male-dominated field, Emma sometimes faces gender-related biases that hinder her progress.",activist_egalitarian,,,,,,,,,
19,John Smith,68,Male,Retired Bank Manager,Moderate,Bachelor's Degree,Regional town in New South Wales,John spent most of his working life as a bank manager in a small regional town. He is now enjoying his retirement and is active in local community organizations. He has seen the world change rapidly and feels a sense of nostalgia for traditional values.,"John values stability, order, and keeping society rooted in traditional social values. He believes in the importance of a strong community and wants to see it preserved. He supports government intervention to ensure the safety of individuals and society.","John's main goal is to maintain the traditional values he grew up with and create a safer society. He wants to promote the importance of family, community, and conservative values in the political discourse. He also aims to ensure that the government continues offshore processing of asylum seekers.",John is concerned about the rapid pace of change in the world and feels that society has moved away from the values he holds dear. He is disappointed by the luxury-driven and career-oriented attitudes of younger generations. John is also worried about the safety and security of his community and wants to see the government take proactive measures.,prudent_traditionalist,,,,,,,,,
20,Emily Johnson,38,Female,Teacher,65000,Bachelor's Degree,"Melbourne, Victoria",Emily grew up in a middle-class family in Melbourne. Her parents instilled in her a strong sense of social justice and inequality. She has always been passionate about fighting for the rights of the marginalized and believes in the power of collective action to bring about societal change.,"Emily strongly believes in equality, social justice, and the power of government intervention to create a fairer society. She values diversity, climate action, and the importance of protecting Australian manufacturing to support local economies and workers.","Emily's main goal is to work towards a more equitable society, where wealth is redistributed and all individuals have access to quality education, healthcare, and opportunities. She wants to see governments take proactive steps to address climate change and invest in sustainable technologies. Additionally, she aims to support Australian manufacturing to strengthen local economies and create job opportunities.","Emily is frustrated by the lack of progress in achieving social and economic equality. She feels that the current system favors the wealthy and perpetuates inequality. Lack of government intervention and action on climate change also deeply concerns her. Emily feels that her values are often not represented in mainstream politics, and that her perspectives are sometimes dismissed or undermined.",activist_egalitarian,,,,,,,,,
21,Emma Davis,35,Female,Social Worker,Moderate,Bachelor's degree,"Melbourne, Victoria","Emma grew up in a small regional town in Victoria, witnessing the struggles faced by her community due to economic inequalities and lack of government support. She moved to Melbourne to pursue higher education and became a social worker to advocate for change and improve the lives of disadvantaged individuals and families.","Emma deeply values social justice, equality, and inclusivity. She strongly believes in the power of government intervention to create a fair and equitable society. Emma is passionate about tackling climate change and protecting Australian manufacturing to ensure a secure future for workers and the environment.","Emma's primary goal is to fight for a redistribution of wealth and resources. She wants to see the government investing more in public services, education, and healthcare. Emma aims to bridge the gap between city and regional areas by advocating for improved infrastructure and opportunities in regional communities.",Emma is frustrated by the lack of progress in achieving greater income and resource equality. She feels discouraged when policies that prioritize corporate interests are prioritized over the well-being of the community. Emma also feels the weight of societal expectations and stereotypes that hinder gender equality and discourage men from embracing egalitarian values.,activist_egalitarian,,,,,,,,,
22,John Smith,68,Male,Retired,Moderate,High School Diploma,Regional Area,"John Smith was born and raised in a small town in regional Australia. He lived a simple life, working in a manufacturing factory for most of his working years. He has always prioritized family and community values over personal ambitions. Now retired, he spends his time volunteering in local organizations and cherishing time with his grandchildren.",John values traditional social values and believes that the world is changing too quickly. He is cautious in his approach to life and is not interested in luxury or material possessions. He believes in the importance of government intervention to ensure people's safety and supports the continuation of offshore processing of asylum seekers. He is also a strong advocate for local communities and wants to preserve their traditional values and way of life.,John's goal is to see a return to traditional social values and a slower pace of change in society. He wants to ensure the safety and security of his community and believes that government intervention is necessary for this. John also wants to support minor parties and candidates who align with his values and priorities. He wishes to see his community thrive and remain a place where traditional values and community spirit are valued.,John's main concern is the rapid pace of change in the world today. He feels that his traditional values and way of life are being threatened by societal changes. He is also worried about the safety and security of his community and wants to ensure that it remains a safe place for his family. John is frustrated by the lack of representation for his values in mainstream politics and often feels overlooked by politicians.,prudent_traditionalist,,,,,,,,,
23,Emma Davis,38,Female,Environmental Scientist,Moderate,Master's Degree,"Melbourne, Victoria","Emma grew up in a middle-class family in a regional area of Victoria. She always had a passion for social justice and environmental issues, leading her to pursue a career in environmental science. Emma has experience working on various projects related to climate change, sustainability, and the protection of natural resources.","Emma strongly believes in equality and the need for government intervention to create a fairer society. She values social progress, climate action, and the preservation of Australian manufacturing. Emma is dedicated to the redistribution of wealth and understands that public investment plays a crucial role in achieving equitable outcomes for all citizens.","Emma's primary goals are to advocate for policies that promote equality, fight for climate action, and support the growth of Australian manufacturing. She aims to create awareness about the importance of government intervention and the need for sustainable practices in order to build a better future for all Australians.","Emma is often frustrated by the lack of progress in addressing social and environmental issues. She feels that her values are not always represented in mainstream political discourse. Additionally, Emma sometimes struggles with the polarized nature of political debates, finding it challenging to engage with individuals who hold radically different beliefs.",activist_egalitarian,,,,,,,,,
24,Mary Higgins,67,Female,Retired,Moderate,High school,Regional town,"Mary has lived her entire life in a small regional town. She worked various jobs to support her family but now enjoys her retirement and spends her time gardening, volunteering, and being part of community activities.","Mary strongly values traditional social values and believes that the world is changing too quickly. She believes in the importance of family, community, and a stable society. She is wary of the rapid changes happening around her and longs for a return to simpler times.",Mary's primary goal is to see a return to traditional social values and stability in society. She wants the government to take action to make people's lives safer and believes in the continuation of offshore processing for asylum seekers as a means of ensuring security. She desires a government that values the well-being of its people and is willing to intervene to protect and preserve traditional values.,"Mary is concerned about the fast-paced changes in society and feels like her way of life is being threatened. She worries about the erosion of traditional values and the impact it might have on future generations. She often feels ignored by politicians and the media, as her concerns are not often addressed or taken seriously. Mary also faces financial challenges as a retiree on a moderate income and is cautious about her spending and saving habits.",prudent_traditionalist,,,,,,,,,
25,Emma,38,Female,Social Worker,Moderate,Bachelor's Degree,"Melbourne, Victoria","Emma grew up in a middle-class family where she witnessed the struggles of those less fortunate. Her experiences shaped her strong social conscience and fueled her passion for activism. After completing her degree in social work, she dedicated herself to advocating for marginalized communities and fighting for social equality.","Emma deeply values equality, fairness, and justice. She believes that governments have a responsibility to intervene and implement policies that close the wealth gap, protect the environment, and support local industries. She is a strong advocate for public investment in education, healthcare, and social programs. Climate action is also a top priority for her.","Emma's primary goal is to create a more equitable society where everyone has equal opportunities and resources. She aims to mobilize communities, raise awareness about social issues, and influence government policies to ensure a fairer distribution of wealth. She also wants to protect and revitalize Australian manufacturing, creating more job opportunities for workers.","Emma feels frustrated when she sees the widening wealth gap and the lack of government accountability in addressing socio-economic disparities. She is concerned about the impact of climate change and the slow progress in taking effective action. Emma also feels the pain of communities affected by the decline of Australian manufacturing, witnessing the loss of jobs and economic stability.",activist_egalitarian,,,,,,,,,
26,John Smith,67,Male,Retired,Moderate,High school diploma,Regional area,"John has spent most of his life in a small town in regional Australia. He worked in a manual labor job, supporting his family and saving diligently for his retirement. He is now enjoying his golden years and spending time with his children and grandchildren.","John values tradition, stability, and the preservation of social values. He cherishes the simpler way of life from days gone by and believes the world is changing too quickly. He believes in the importance of family, community, and the strength of traditional social institutions.",John's goals include ensuring the safety and security of his family and community. He wants to see a return to traditional social values and believes that government intervention is necessary to achieve this. He wishes to protect the way of life he cherishes and hopes for a future that maintains these values.,John is concerned about the rapid changes happening around him and fears that the world he knows and loves is disappearing. He worries about the impact of these changes on his family and the erosion of traditional institutions. He dislikes excessive consumerism and is cautious about spending his hard-earned money. John is also troubled by the issue of asylum seekers and believes that offshore processing is necessary to maintain national security.,prudent_traditionalist,,,,,,,,,
27,Emma,32,Female,Social Worker,"AU$45,000",Bachelor's Degree,"Melbourne, Victoria","Emma grew up in a middle-class family in a regional area of Victoria. She witnessed firsthand the struggles faced by low-income families and the lack of access to quality education and healthcare in her community. This sparked her passion for social justice and led her to pursue a career in social work, where she could make a difference in people's lives.","Emma values equality, fairness, and social justice. She believes that everyone deserves equal opportunities regardless of their background or income. She is dedicated to fighting for the rights of marginalized communities and advocating for policies that promote a more equitable society. Emma strongly believes in the power of government intervention to address social and economic disparities.","Emma's main goal is to create a more just and inclusive society. She wants to see wealth redistribution, increased public investment in essential services like education and healthcare, and stronger action on climate change. Emma also aims to protect Australian manufacturing to support local businesses and ensure job security for workers. She envisions a future where everyone has access to quality education, healthcare, and a safe environment.","Emma often feels frustrated by the opposition she faces from those who prioritize individual success over societal well-being. She is concerned about the rising income inequality and the lack of government initiatives to address it. Emma also feels disheartened by the slow progress in climate action and the negative impacts she sees on vulnerable communities. Additionally, she frequently encounters gender bias and stereotypes in her professional and personal life.",activist_egalitarian,,,,,,,,,
28,Sarah,56,Female,Retired,Moderate,High school,Regional town,"Sarah grew up in a small regional town and has always been a part of a tight-knit community. She worked her whole life in a factory, saving diligently for her retirement. Sarah has seen the world around her change rapidly, and she often feels overwhelmed by the pace of these changes.","Sarah holds strong traditional values that have shaped her life choices. She believes in the importance of family, community, and maintaining social order. She values stability, security, and a return to the societal values of the past. Sarah believes in the role of government in ensuring the safety and well-being of its citizens.",Sarah's goal is to create a sense of stability and security in her own life and for future generations. She wants to preserve traditional social values and institutions that she believes have eroded over time. Sarah also wants to ensure that government intervention is in place to protect the safety and well-being of all individuals.,"Sarah feels disconnected from the issues of the day and often finds it difficult to relate to the younger generation, who she feels are moving too quickly towards change. She worries about the erosion of traditional social values and the impact it may have on her community. Sarah also feels anxious about the lack of security and stability in the world around her.",prudent_traditionalist,,,,,,,,,
